link,number,requirement,addr,time,job_name,duty,type
http://hr.tencent.com/position_detail.php?id=33919&keywords=&tid=0&lid=0,1,会计或财务等相关专业本科以上学历，具有CICPA或国际认可的海外相关资格者优先；至少5年以上工作经验(7年经验以上为优)，至少负责全盘财务工作2年以上，有四大或国内著名事务所审计或企业管理经验者为佳；具备较强的财务分析能力和经验；工作细致，责任感强，良好的沟通能力和团队精神；为人忠诚，具有高度职业道德。,长沙,2017-11-01,S2-大湘网财务总监（长沙）,负责合资公司整体财务管理工作；负责合资公司财务团队管理工作；隶属于总部财经线，向总部财经线汇报。,职能类
http://hr.tencent.com/position_detail.php?id=33920&keywords=&tid=0&lid=0,4,1、有3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；2、有成功的传统企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力，熟悉仿真计算、工业物联网、Mes系统等工业领域相关流程和架构，有过工业制造相关系统建设经验优先；3、熟悉Hadoop、Mysql、PostgreSQL、NoSQL、Oracle、Teradata、DB2等数据库中至少一种数据中心建设方案，可以进行产品的独立部署、高可用架构和性能优化，熟悉开源社区解决方案。4、熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；5、具备团队合作经验，学习能力强，抗压能力强；6、具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档7、有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先8、有PMP认证优先。,深圳,2017-11-01,22989-腾讯云工业行业企业架构师（北京/上海/深圳/成都）,1、熟悉工业制造相关业务，并能对工业制造相关的架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；2、能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；3、确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；4、了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。,技术类
http://hr.tencent.com/position_detail.php?id=33921&keywords=&tid=0&lid=0,2,3年以上工作经验，计算机相关专业本科以上学历；具有数据库内核开发经验者优先；具有kubernetes和docker经验，在容器方面有丰富经验值优先；熟悉Linux环境下的 c/c++/go/python/php任一种语言，具有较好的系统分析设计能力；熟悉Linux网络编程、熟悉互联网业务开发；具备大型分布式系统后台研发经验，具有海量并发开发经验，对Mysql、MongoDB、大数据系统有任一经验者优先；积极进取、诚实正直、责任心强，有较好的沟通能力。,北京,2017-11-01,22989-腾讯云数据库内核研发高级工程师（北京/成都）,负责数据库底层研究和特性开发；负责对现有在线系统稳定性优化、性能调优等工作；负责云数据库和云cache产品的架构优化；负责腾讯云平台的数据库后台研发工作；负责对现有在线系统稳定性优化、性能调优等工作。,技术类
http://hr.tencent.com/position_detail.php?id=31951&keywords=&tid=0&lid=0,2,"本科及以上学历，3年以上相关工作经验；能够熟练运用 HTML, CSS, Javascript 构建高性能的 Web 应用程序；理解WEB标准和兼容性，对可用性相关知识有实际的了解和实践经验；能够熟练运用至少一款主流的JS框架，具有良好的代码风格、接口设计与程序架构；掌握Canvas/SVG/WebGL中的一种web图形渲染技术；掌握nodejs/php/java/C++中的一种后端语音，对OOP有一定的认识；思路清晰，具备良好的沟通能力和团队协作精神。",北京,2017-11-01,MIG16-腾讯位置服务开放平台web前端工程师（北京）,负责腾讯位置服务web产品研发；负责地图小程序产品、大数据平台、工具平台的研发；探索最新、最酷炫的web地图展示技术。,技术类
http://hr.tencent.com/position_detail.php?id=33922&keywords=&tid=0&lid=0,1,5年及以上工作经验，其中不低于3年咨询公司工作经验；有人力效能分析、相关项目经验优先；具备敏锐的数据分析思维和诊断问题能力；有一定的前瞻性和大局观；坚韧，面对复杂问题能迎难而。,深圳,2017-11-01,RL-人力效能分析规划经理（深圳）,公司年度人力规划的方法论优化；各业务BG人力配置的合理性分析，供人委会决策参考，用于HC评审、决策等；跟人才引进、调配相关的定量分析与诊断。,职能类
http://hr.tencent.com/position_detail.php?id=31315&keywords=&tid=0&lid=0,2,1.全日制本科及以上学历，专业不限；2.两年以上互联网广告行业区域市场渠道管理和负责经验（山东、浙江、福建、江苏省份优先）3.熟悉渠道运作流程，具有良好的计划、执行、沟通、协调能力；4.熟悉所在区域广告市场环境，有较好的行业洞察和分析能力。5.能够承受较大工作压力，有较好的团队合作意识；6.思路开放，热情，为人诚信，工作敬业，有责任心；,北京,2017-11-01,SA-腾讯社交广告SMB区域业务拓展经理（北京）,1、深入洞察区域内的互联网广告市场机会，关注行业发展动态和广告主需求变化，探索目标广告主的引入路径和服务方式2、负责区域市场信息的收集和友商布局分析，制定所在区域的代理商布局规划3、负责区域代理商管理工作，调动区域、政策、产品等多维度资源，对区域整体业绩及目标广告主市场覆盖度负责4、制定代理商目标任务，跟进代理商计划的执行情况，确保区域整体业绩和目标广告主市场覆盖度任务的达成5、负责维护区域市场秩序以及控制区域市场价格体系，提出区域内渠道调整和发展建议6、有效处理渠道冲突，参与制定各种服务与激励方式，持续提高渠道合作伙伴的满意度和投入7、帮助代理商进行业务规划，协助体系搭建，积极开展培训，运用各种策略技能提升代理商各项业务能力8、与代理商负责人保持紧密互动，主动关注代理商公司发展方向，维护与代理商间的长期合作关系9、配合产品、运营及行业等团队开展各类项目在区域的落地执行；,市场类
http://hr.tencent.com/position_detail.php?id=31793&keywords=&tid=0&lid=0,2,1.全日制本科及以上学历，专业不限；2.两年以上互联网广告行业区域市场渠道管理和负责经验（山东、浙江、福建、江苏省份优先）3.熟悉渠道运作流程，具有良好的计划、执行、沟通、协调能力；4.熟悉所在区域广告市场环境，有较好的行业洞察和分析能力。5.能够承受较大工作压力，有较好的团队合作意识；6.思路开放，热情，为人诚信，工作敬业，有责任心；,深圳,2017-11-01,SA-腾讯社交广告SMB区域业务拓展经理（深圳）,1、深入洞察区域内的互联网广告市场机会，关注行业发展动态和广告主需求变化，探索目标广告主的引入路径和服务方式2、负责区域市场信息的收集和友商布局分析，制定所在区域的代理商布局规划3、负责区域代理商管理工作，调动区域、政策、产品等多维度资源，对区域整体业绩及目标广告主市场覆盖度负责4、制定代理商目标任务，跟进代理商计划的执行情况，确保区域整体业绩和目标广告主市场覆盖度任务的达成5、负责维护区域市场秩序以及控制区域市场价格体系，提出区域内渠道调整和发展建议6、有效处理渠道冲突，参与制定各种服务与激励方式，持续提高渠道合作伙伴的满意度和投入7、帮助代理商进行业务规划，协助体系搭建，积极开展培训，运用各种策略技能提升代理商各项业务能力8、与代理商负责人保持紧密互动，主动关注代理商公司发展方向，维护与代理商间的长期合作关系9、配合产品、运营及行业等团队开展各类项目在区域的落地执行；,市场类
http://hr.tencent.com/position_detail.php?id=26757&keywords=&tid=0&lid=0,1,1.全日制本科及以上学历，专业不限；2.两年以上互联网广告行业区域市场渠道管理和负责经验（山东、浙江、福建、江苏省份优先）3.熟悉渠道运作流程，具有良好的计划、执行、沟通、协调能力；4.熟悉所在区域广告市场环境，有较好的行业洞察和分析能力。5.能够承受较大工作压力，有较好的团队合作意识；6.思路开放，热情，为人诚信，工作敬业，有责任心；,上海,2017-11-01,SA-腾讯社交广告SMB区域业务拓展经理（上海）,1、深入洞察区域内的互联网广告市场机会，关注行业发展动态和广告主需求变化，探索目标广告主的引入路径和服务方式2、负责区域市场信息的收集和友商布局分析，制定所在区域的代理商布局规划3、负责区域代理商管理工作，调动区域、政策、产品等多维度资源，对区域整体业绩及目标广告主市场覆盖度负责4、制定代理商目标任务，跟进代理商计划的执行情况，确保区域整体业绩和目标广告主市场覆盖度任务的达成5、负责维护区域市场秩序以及控制区域市场价格体系，提出区域内渠道调整和发展建议6、有效处理渠道冲突，参与制定各种服务与激励方式，持续提高渠道合作伙伴的满意度和投入7、帮助代理商进行业务规划，协助体系搭建，积极开展培训，运用各种策略技能提升代理商各项业务能力8、与代理商负责人保持紧密互动，主动关注代理商公司发展方向，维护与代理商间的长期合作关系9、配合产品、运营及行业等团队开展各类项目在区域的落地执行；,市场类
http://hr.tencent.com/position_detail.php?id=32914&keywords=&tid=0&lid=0,1,本科5年硕士3年以上，熟悉C++或Java，熟悉至少一门脚本语言，如Shell，Python等。熟练使用Linux系统，熟悉TCP/IP、HTTP等网络编程协议，熟悉Socket网络编程。熟悉软件测试理论、方法和过程，对测试流程、测试用例设计方法有较好理解和掌握；熟悉常用的安卓或iOS自动化测试框架，有多个完整项目的成功经验，对自动化测试有深入全面的理解。熟悉持续集成，有一定工具开发经验，有做过AI测试相关探索的优先。热爱测试，有足够的沟通和团队协作能力，能够快速准确理解产品需求规格，做事积极主动，乐于学习，能够承担有挑战性工作。,上海,2017-11-01,HY1-测试开发工程师（上海）,负责WeTest云测试平台测试技术在游戏业务中的落地；负责WeTest云测试平台上测试工具的优化与新技术的研究；,技术类
http://hr.tencent.com/position_detail.php?id=33799&keywords=&tid=0&lid=0,1,本科及以上学历；具备较好的薪酬专业知识和分析技能（熟练运用EXCEL函数及统计分析）、熟悉境内社保公积金政策及相关法律规定；薪酬福利领域有至少2个岗位、3年以上的工作经验（payroll、固定薪酬设计、短期激励、福利管理）、具备跨地区或者大型民营企业的总部薪酬福利管理经验优先；积极的工作态度，强执行力，优秀的沟通能力、推动能力以及解决问题的能力；英文优秀，能熟练用英文进行工作。,深圳,2017-11-01,21530-腾讯音乐薪酬经理（深圳）,根据腾讯音乐的薪酬福利政策，负责日常现金薪酬管理，包括集团部门及业务线（境内及境外公司）社保公积金、日常payroll、个税管理、年度薪酬市场调研、年度调薪方案设计、短期激励管理体系的设计与优化等；根据腾讯音乐的发展，不断完善薪酬IT系统、现金管理制度和流程。,职能类
